form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,paradigm_tag,variants_tag,overabundance_tag,source,page,language_id
ranglong155,mu,1.pl.2.pl.nfut.aff,nanamu,nanaΣ,na+na+Σ,n a n a Σ,n a + n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong156,mu,1.sg.3.sg.nfut.aff,kamu,kaΣ,ka+Σ,k a Σ,k a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong157,mu,1.sg.3.pl.nfut.aff,kamu u,kaΣ u,ka+Σ+u,k a Σ u,k a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong158,mu,1.sg.3.pl.nfut.aff,kamu,kaΣ,ka+Σ,k a Σ,k a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong159,mu,1.pl.3.sg.nfut.aff,namu,naΣ,na+Σ,n a Σ,n a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong160,mu,1.pl.3.pl.nfut.aff,namu u,naΣ u,na+Σ+u,n a Σ u,n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong161,mu,1.pl.3.pl.nfut.aff,namu,naΣ,na+Σ,n a Σ,n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong162,se,2.sg.nfut.aff,nase,naΣ,na+Σ,n a Σ,n a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong163,se,2.pl.nfut.aff,nase u,naΣ u,na+Σ+u,n a Σ u,n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong164,mu,2.sg.1.sg.nfut.aff,nanamu,nanaΣ,na+na+Σ,n a n a Σ,n a + n a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong165,mu,2.sg.1.pl.nfut.aff,nanamu u,nanaΣ u,na+na+Σ+u,n a n a Σ u,n a + n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong166,mu,2.pl.1.sg.nfut.aff,nanamu u,nanaΣ u,na+na+Σ+u,n a n a Σ u,n a + n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
